sexo,escol,Tam_loc,agg_judicial_institutional_trust,agg_law_compliance_motivation,agg_legal_cynicism_extrajudicial_justice,agg_police_trust_and_legitimacy
2.0,4.0,2.0,2.5,5.235294117647059,2.35,1.0
1.0,3.0,2.0,2.3125,6.823529411764706,2.125,2.125
1.0,2.0,2.0,,6.823529411764706,2.575,1.0
2.0,1.0,2.0,2.3125,5.764705882352941,2.35,1.0
2.0,4.0,2.0,1.375,4.1764705882352935,1.9,4.375
1.0,3.0,2.0,2.125,6.294117647058823,1.45,2.125
1.0,3.0,2.0,3.4375,5.235294117647059,3.9250000000000003,2.125
2.0,3.0,2.0,1.9375,4.1764705882352935,1.675,1.0
1.0,3.0,2.0,4.5625,4.705882352941177,1.9,3.25
2.0,2.0,2.0,,4.1764705882352935,2.8,2.125
1.0,3.0,2.0,,6.294117647058823,4.15,3.25
2.0,3.0,2.0,3.625,5.235294117647059,2.8,2.125
2.0,1.0,2.0,3.25,7.352941176470588,2.125,3.25
1.0,3.0,2.0,,5.764705882352941,5.2749999999999995,3.25
2.0,2.0,2.0,2.125,6.823529411764706,1.9,2.125
1.0,3.0,2.0,3.4375,5.764705882352941,1.675,2.125
2.0,4.0,2.0,2.6875,5.235294117647059,1.2249999999999999,2.125
1.0,2.0,2.0,1.9375,5.235294117647059,2.35,3.25
2.0,1.0,2.0,2.5,5.235294117647059,2.575,1.0
1.0,2.0,2.0,4.0,7.882352941176471,7.75,2.125
1.0,4.0,2.0,,5.235294117647059,2.575,2.125
2.0,2.0,2.0,,5.764705882352941,2.8,1.0
2.0,3.0,2.0,2.3125,4.705882352941177,3.6999999999999997,1.0
1.0,1.0,2.0,2.875,3.6470588235294117,2.575,1.0
1.0,5.0,2.0,,7.352941176470588,2.575,2.125
2.0,2.0,2.0,,9.470588235294118,1.9,3.25
2.0,4.0,2.0,4.9375,5.235294117647059,1.675,3.25
1.0,3.0,2.0,3.625,4.705882352941177,3.025,2.125
2.0,1.0,1.0,1.75,5.235294117647059,1.675,1.0
2.0,3.0,1.0,1.75,5.764705882352941,2.35,1.0
2.0,2.0,1.0,1.375,4.1764705882352935,1.2249999999999999,1.0
1.0,3.0,1.0,,5.235294117647059,3.025,1.0
1.0,1.0,1.0,1.9375,5.235294117647059,1.45,1.0
1.0,5.0,1.0,1.9375,6.294117647058823,1.45,1.0
1.0,2.0,1.0,2.3125,6.294117647058823,2.125,2.125
2.0,3.0,1.0,,7.882352941176471,1.9,1.0
1.0,1.0,1.0,,4.705882352941177,2.125,2.125
2.0,3.0,1.0,2.5,7.882352941176471,1.45,2.125
2.0,5.0,1.0,2.3125,3.6470588235294117,3.025,2.125
2.0,4.0,1.0,2.3125,7.882352941176471,2.35,3.25
2.0,4.0,1.0,6.0625,4.705882352941177,3.6999999999999997,1.0
2.0,3.0,1.0,6.8125,6.823529411764706,6.175,2.125
2.0,2.0,1.0,6.25,4.1764705882352935,5.95,2.125
2.0,4.0,1.0,,5.235294117647059,4.825,2.125
2.0,2.0,1.0,,3.6470588235294117,5.95,1.0
1.0,2.0,1.0,2.125,6.294117647058823,1.45,1.0
2.0,4.0,1.0,2.3125,5.764705882352941,2.125,3.25
1.0,2.0,1.0,3.0625,4.1764705882352935,1.9,3.25
1.0,4.0,1.0,3.0625,6.294117647058823,2.8,2.125
2.0,3.0,1.0,,4.705882352941177,2.8,4.375
2.0,2.0,1.0,3.4375,6.294117647058823,2.125,3.25
2.0,3.0,1.0,,5.764705882352941,3.25,3.25
