sexo,escol,Tam_loc,agg_fiscal_and_service_federalism_preferences,agg_legal_uniformity_preference,agg_perceived_representativeness,agg_political_interest_and_engagement,agg_security_governance_preferences
1.0,4.0,1.0,9.372093023255815,8.875,1.0,5.764705882352941,6.34375
2.0,3.0,1.0,3.511627906976744,1.0,6.571428571428572,7.352941176470588,3.25
1.0,4.0,1.0,4.558139534883722,1.75,6.142857142857142,5.764705882352941,3.8125
2.0,4.0,1.0,2.674418604651163,1.375,7.642857142857142,7.352941176470588,3.8125
1.0,4.0,1.0,3.9302325581395348,1.0,6.785714285714285,6.294117647058824,4.9375
1.0,5.0,1.0,3.9302325581395348,1.75,7.857142857142858,10.0,2.125
1.0,3.0,1.0,4.348837209302325,1.0,6.142857142857142,6.8235294117647065,4.09375
1.0,3.0,1.0,4.1395348837209305,2.125,6.571428571428572,7.882352941176473,2.96875
2.0,3.0,1.0,3.0930232558139537,2.875,6.999999999999999,5.764705882352941,3.8125
2.0,4.0,1.0,4.9767441860465125,1.0,6.999999999999999,5.764705882352941,3.8125
2.0,4.0,1.0,2.674418604651163,1.5625,9.142857142857142,6.8235294117647065,2.96875
2.0,4.0,1.0,2.674418604651163,1.5625,9.571428571428571,7.352941176470588,2.125
1.0,4.0,1.0,3.511627906976744,2.5,8.07142857142857,5.764705882352941,2.96875
2.0,4.0,1.0,4.558139534883722,1.5625,8.714285714285714,6.8235294117647065,6.625
1.0,4.0,1.0,2.883720930232559,1.9375,8.5,6.8235294117647065,2.6875
2.0,3.0,1.0,3.302325581395349,1.5625,8.928571428571427,6.8235294117647065,2.6875
2.0,4.0,1.0,4.558139534883722,1.5625,8.714285714285714,5.764705882352941,6.625
2.0,4.0,1.0,3.302325581395349,1.375,8.928571428571427,7.882352941176473,2.6875
1.0,3.0,1.0,3.0930232558139537,1.75,9.357142857142858,6.294117647058824,3.25
2.0,4.0,1.0,2.883720930232559,1.75,8.928571428571427,6.8235294117647065,2.96875
2.0,3.0,4.0,3.511627906976744,1.0,10.0,10.0,2.6875
1.0,4.0,4.0,3.9302325581395348,1.5625,9.571428571428571,7.882352941176473,2.6875
1.0,2.0,1.0,2.674418604651163,1.0,8.714285714285714,7.352941176470588,3.25
1.0,4.0,1.0,3.7209302325581395,1.0,10.0,7.352941176470588,2.96875
1.0,3.0,1.0,2.883720930232559,1.0,9.142857142857142,8.411764705882351,2.40625
2.0,3.0,1.0,2.883720930232559,1.0,7.428571428571428,6.8235294117647065,2.40625
2.0,3.0,1.0,2.674418604651163,1.0,7.428571428571428,6.294117647058824,2.125
2.0,3.0,1.0,2.674418604651163,1.0,7.428571428571428,6.294117647058824,2.125
2.0,2.0,1.0,1.2093023255813953,1.0,7.428571428571428,6.294117647058824,2.125
1.0,4.0,1.0,2.674418604651163,1.0,7.428571428571428,7.352941176470588,2.40625
1.0,2.0,2.0,3.7209302325581395,1.0,8.714285714285714,6.294117647058824,5.5
2.0,4.0,2.0,3.7209302325581395,1.0,7.428571428571428,7.352941176470588,2.40625
1.0,2.0,2.0,3.0930232558139537,1.5625,8.928571428571427,7.882352941176473,2.40625
2.0,3.0,1.0,2.883720930232559,1.0,8.714285714285714,6.294117647058824,2.40625
2.0,4.0,1.0,3.302325581395349,1.0,8.714285714285714,9.470588235294116,3.25
2.0,4.0,1.0,3.0930232558139537,1.0,8.714285714285714,7.882352941176473,3.25
1.0,2.0,1.0,3.0930232558139537,1.0,7.428571428571428,8.411764705882351,3.8125
2.0,5.0,1.0,2.674418604651163,1.0,8.714285714285714,8.411764705882351,2.40625
1.0,4.0,1.0,3.302325581395349,1.0,10.0,9.470588235294116,1.5625
1.0,2.0,1.0,4.1395348837209305,1.0,7.428571428571428,9.470588235294116,3.8125
1.0,4.0,1.0,3.7209302325581395,1.0,8.714285714285714,8.411764705882351,1.5625
1.0,5.0,1.0,3.511627906976744,1.0,6.142857142857142,10.0,4.09375
1.0,4.0,1.0,3.302325581395349,1.0,7.428571428571428,8.411764705882351,2.6875
1.0,5.0,1.0,3.302325581395349,1.375,7.214285714285714,10.0,1.84375
1.0,3.0,1.0,3.302325581395349,1.375,9.357142857142858,8.411764705882351,3.53125
1.0,3.0,1.0,3.0930232558139537,1.375,9.357142857142858,8.411764705882351,1.5625
2.0,4.0,1.0,3.511627906976744,1.0,9.571428571428571,6.8235294117647065,3.8125
1.0,4.0,1.0,2.4651162790697674,1.1875,6.142857142857142,7.882352941176473,2.125
2.0,3.0,1.0,3.0930232558139537,1.375,9.357142857142858,10.0,1.84375
1.0,4.0,1.0,4.767441860465116,1.0,7.428571428571428,6.294117647058824,3.25
1.0,5.0,1.0,3.302325581395349,1.375,6.999999999999999,6.8235294117647065,2.40625
2.0,5.0,1.0,2.883720930232559,1.5625,6.571428571428572,7.352941176470588,2.6875
